"id";"class";"confidence(good)";"confidence(bad)";"prediction(class)"
3;"good";0.9255813953488372;0.07441860465116279;"good"
5;"bad";0.4906832298136646;0.5093167701863354;"bad"
6;"good";0.9255813953488372;0.07441860465116279;"good"
11;"bad";0.6467065868263473;0.3532934131736527;"good"
13;"good";0.6467065868263473;0.3532934131736527;"good"
17;"good";0.9255813953488372;0.07441860465116279;"good"
18;"good";0.4906832298136646;0.5093167701863354;"bad"
20;"good";0.9255813953488372;0.07441860465116279;"good"
25;"good";0.9255813953488372;0.07441860465116279;"good"
29;"good";0.6467065868263473;0.3532934131736527;"good"
33;"good";0.6467065868263473;0.3532934131736527;"good"
34;"good";0.9255813953488372;0.07441860465116279;"good"
37;"good";0.6190476190476191;0.38095238095238093;"good"
40;"good";1.0;0.0;"good"
41;"good";0.6190476190476191;0.38095238095238093;"good"
43;"good";0.6467065868263473;0.3532934131736527;"good"
48;"good";0.4906832298136646;0.5093167701863354;"bad"
49;"good";0.9255813953488372;0.07441860465116279;"good"
51;"good";0.6467065868263473;0.3532934131736527;"good"
54;"good";0.9255813953488372;0.07441860465116279;"good"
55;"bad";0.6467065868263473;0.3532934131736527;"good"
57;"bad";0.6467065868263473;0.3532934131736527;"good"
61;"good";0.6467065868263473;0.3532934131736527;"good"
64;"bad";0.3333333333333333;0.6666666666666666;"bad"
69;"bad";1.0;0.0;"good"
73;"good";0.4906832298136646;0.5093167701863354;"bad"
75;"bad";0.4906832298136646;0.5093167701863354;"bad"
77;"bad";0.4906832298136646;0.5093167701863354;"bad"
79;"good";0.9255813953488372;0.07441860465116279;"good"
84;"good";0.4906832298136646;0.5093167701863354;"bad"
103;"good";0.9255813953488372;0.07441860465116279;"good"
104;"good";0.6467065868263473;0.3532934131736527;"good"
108;"good";0.6467065868263473;0.3532934131736527;"good"
112;"good";1.0;0.0;"good"
116;"good";0.9255813953488372;0.07441860465116279;"good"
117;"bad";0.4906832298136646;0.5093167701863354;"bad"
118;"good";0.4906832298136646;0.5093167701863354;"bad"
119;"bad";0.4906832298136646;0.5093167701863354;"bad"
121;"bad";0.4906832298136646;0.5093167701863354;"bad"
124;"good";0.25;0.75;"bad"
125;"bad";0.6467065868263473;0.3532934131736527;"good"
129;"good";0.6467065868263473;0.3532934131736527;"good"
132;"bad";0.4906832298136646;0.5093167701863354;"bad"
136;"good";0.9255813953488372;0.07441860465116279;"good"
144;"bad";0.4906832298136646;0.5093167701863354;"bad"
145;"good";0.9255813953488372;0.07441860465116279;"good"
147;"good";0.4906832298136646;0.5093167701863354;"bad"
151;"good";0.0;1.0;"bad"
153;"good";0.8;0.2;"good"
155;"good";0.6467065868263473;0.3532934131736527;"good"
169;"good";0.9255813953488372;0.07441860465116279;"good"
171;"bad";0.4906832298136646;0.5093167701863354;"bad"
175;"bad";0.4906832298136646;0.5093167701863354;"bad"
176;"bad";1.0;0.0;"good"
177;"good";0.4906832298136646;0.5093167701863354;"bad"
181;"bad";0.9255813953488372;0.07441860465116279;"good"
182;"bad";0.6467065868263473;0.3532934131736527;"good"
185;"bad";0.6467065868263473;0.3532934131736527;"good"
187;"bad";0.6467065868263473;0.3532934131736527;"good"
188;"good";0.6467065868263473;0.3532934131736527;"good"
189;"bad";0.0;1.0;"bad"
